Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Thermosensibilité (MWh/degré-jour);Part Thermosensible;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Commune;Libellé Commune;Code EPCI;Libellé EPCI;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh);Code_postal
Enedis;2016;Electricité;970.9;4;0;0.948;0.0;0;0;0.0;65.8;1;0;0.87;3157.32;320;0;0.421;0.0;0.0;0.0;0;0;0.0;35180;Miniac-sous-Bécherel;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;4194.02;35190
Enedis;2019;Electricité;0.0;0;0;0.0;5127.3845988719;8;0;0.695;1170.69974269299;55;0;0.762;2309.02610132506;380;0;0.679;0.0;0.0;68.0812528644755;12;0;0.749;35022;Bécherel;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;8675.191695754425;35190
Enedis;2019;Electricité;1409.77919730186;21;0;0.832;658.755382447864;28;0;0.727;991.904404360938;86;0;0.892;7787.86734324416;1403;0;0.803;1.420796334;25.7;175.256208433337;26;0;0.72;35204;Nouvoitou;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;11023.562535788158;35410
RTE;2016;Electricité;0.0;0;0;0.0;20110.98;1;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;35238;Rennes;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;20110.98;35700/35200/35000
RTE;2016;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;44653.21;1;0;1.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;35051;Cesson-Sévigné;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;44653.21;35510
RTE;2012;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;48345.07;1;0;1.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;35051;Cesson-Sévigné;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;48345.07;35510
GRDF;2012;Gaz;0.0;0;0;0.0;1890.0;1;0;1.0;3067.0;8;0;1.0;33596.0;2295;0;0.00926;0.0;0.0;0.0;0;0;0.0;35024;Betton;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;38553.0;35830
Enedis;2012;Electricité;151.23;1;0;0.902;14352.17;8;0;0.997;1887.96;15;0;0.939;12524.25;2098;0;0.337;0.0;0.0;0.0;0;0;0.0;35059;La Chapelle-des-Fougeretz;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;28915.61;35520
Enedis;2012;Electricité;662.78;2;0;0.977;0.0;0;0;0.0;1731.7;9;0;0.955;12244.02;1695;0;0.315;0.0;0.0;0.0;0;0;0.0;35245;Romillé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;14638.5;35850
Enedis;2012;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;268.69;2;0;0.864;4769.8;556;0;0.307;0.0;0.0;0.0;0;0;0.0;35315;Saint-Sulpice-la-Forêt;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;5038.49;35250
GRDF;2016;Gaz;2365.0;1;0;1.0;22365.0;1;0;1.0;673.0;3;0;1.0;9855.0;858;0;0.0;0.0;0.0;0.0;0;0;0.0;35266;Saint-Erblon;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;35258.0;35230
GRDF;2016;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;2202.0;6;0;1.0;33262.0;2335;0;0.0308;0.0;0.0;0.0;0;0;0.0;35334;Thorigné-Fouillard;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;35464.0;35235
GRDF;2020;Gaz;0.0;0;0;0.0;231.75899;4;0;0.0204;1062.27998;9;0;0.196;9268.17045;1053;0;0.175;0.0;0.0;0.0;0;0;0.0;35032;Bourgbarré;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;10562.20942;35230
GRDF;2020;Gaz;0.0;0;0;0.0;1415.24399;4;0;0.92;4219.5902;49;0;0.79;30544.25385;3312;0;0.95;0.0;0.0;0.0;0;3;0.0;35024;Betton;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;36179.08804;35830
GRDF;2020;Gaz;0.0;0;0;0.0;1661.92835;12;1;0.18;19787.823;79;0;0.351;38643.04566;4316;0;0.144;0.0;0.0;0.0;0;3;0.0;35281;Saint-Jacques-de-la-Lande;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;60092.79701;35136
